	Kingdom	Phyllum	Class	Order	Family	Genus	Species
ZOTU6998	 k__Bacteria	 p__Spirochaetota	 c__Leptospirae	 o__Leptospirales	 f__Leptospiraceae	 g__Turneriella	 s__metagenome
ZOTU12847	 k__Bacteria	 p__Dependentiae	 c__Babeliae	 o__Babeliales	 f__Babeliaceae	 g__Babeliaceae	 s__
ZOTU14906	 k__Bacteria	 p__Chloroflexi	 c__Dehalococcoidia	 o__S085	 f__S085	 g__S085	 s__uncultured_bacterium
ZOTU7777	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__
ZOTU10861	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	 s__uncultured_bacterium
ZOTU4307	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 g__MND1	 s__
ZOTU22101	 k__Bacteria	 p__Chloroflexi	 c__OLB14	 o__OLB14	 f__OLB14	 g__OLB14	 s__
ZOTU15514	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__
ZOTU6650	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Blfdi19	 f__Blfdi19	 g__Blfdi19	 s__uncultured_bacterium
ZOTU7162	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__
ZOTU17936	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__uncultured	 s__
ZOTU10460	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Brevifollis	 s__
ZOTU2982	 k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__	 s__
ZOTU19033	 k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Lachnospirales	 f__Lachnospiraceae	 g__Blautia	 s__uncultured_bacterium
ZOTU2124	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Nocardioides	 s__
ZOTU21803	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Bryobacterales	 f__Bryobacteraceae	 g__Bryobacter	 s__
ZOTU2736	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__	 s__
ZOTU9463	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__metagenome
ZOTU6244	 k__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Cyanobacteriales	 f__Nostocaceae	 g__Desmonostoc_PCC-7422	 s__
ZOTU14977	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__TRA3-20	 g__TRA3-20	 s__
ZOTU17176	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Bryobacterales	 f__Bryobacteraceae	 g__Bryobacter	 s__metagenome
ZOTU19825	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__LWQ8	 g__LWQ8	 s__
ZOTU14166	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__	 s__
ZOTU20979	 k__Bacteria	 p__Chloroflexi	 c__Dehalococcoidia	 o__S085	 f__S085	 g__S085	 s__
ZOTU6088	 k__Bacteria	 p__Elusimicrobiota	 c__Elusimicrobia	 o__MVP-88	 f__MVP-88	 g__MVP-88	 s__uncultured_bacterium
ZOTU21927	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__
ZOTU733	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Luteolibacter	 s__uncultured_bacterium
ZOTU10592	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__	 s__
ZOTU21630	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Puniceispirillales	 f__uncultured	 g__uncultured	 s__metagenome
ZOTU2571	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__
ZOTU6381	 k__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
ZOTU5015	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__Candidatus_Ovatusbacter	 s__uncultured_bacterium
ZOTU14290	 k__Bacteria	 p__Gemmatimonadota	 c__BD2-11_terrestrial_group	 o__BD2-11_terrestrial_group	 f__BD2-11_terrestrial_group	 g__BD2-11_terrestrial_group	 s__uncultured_bacterium
ZOTU15694	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__OLB13	 s__
ZOTU12200	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 g__uncultured	 s__uncultured_delta
ZOTU3386	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Rhodobacter	 s__
ZOTU2314	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__LWQ8	 g__LWQ8	 s__uncultured_bacterium
ZOTU1967	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Zavarziniales	 f__uncultured	 g__uncultured	 s__metagenome
ZOTU1050	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Inhella	 s__Inhella_inkyongensis
ZOTU4231	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU7870	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__PeM15	 f__PeM15	 g__PeM15	 s__
ZOTU10878	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__CCM11a	 f__CCM11a	 g__CCM11a	 s__uncultured_bacterium
